Allen 2013,ERG TVA 2011,ERG Camera 2011,Kuo 2012,Ravikumar-Measured only 2020,Bell-2017,Pacsi-2019,Zimmerle-2019
0.00306256,1.8105600E-04,7.2908800E-02,0.032,0.002586218,0.003399198,0.343542677,0.058200279
0.012095866,2.2521600E-04,6.4707200E-02,0.0016,0.087931403,0.006231863,0.311587994,0.000533981
0.037218048,7.2921600E-04,1.1703040E-01,0.0032,0.010344871,0.025493985,0.304851996,0.000540464
0.010695216,5.2953600E-04,7.0080000E-04,0.0016,0.002586218,0.027760117,0.266808352,0.000543985
0.017112346,4.7872000E-02,1.9084800E-02,0.0352,0.002586218,0.03965731,0.196014527,0.00055086
0.168316099,3.2256000E-05,2.9593600E-02,0.0096,0.007758653,0.060052498,0.184816204,0.000543469
0.384368256,2.1824000E-03,6.3660800E-02,0.0016,0.002586218,0.010197594,0.184013113,0.175349389
0.049853328,1.3491200E-02,1.1404800E-01,0.0096,0.087931403,0.009631061,0.181245806,0.000550509
0.01083768,1.9312000E-04,2.6284800E-01,0.0512,0.002586218,0.002266132,0.17956159,0.000542502
0.330084768,4.3308800E-04,7.1808000E-03,0.0064,0.002586218,0.001699599,0.136640056,0.000546142
0.025801926,4.7196800E-04,2.0236800E-02,0.0672,0.002586218,0.001133066,0.119747247,0.00053858
0.065704906,1.0931200E-02,1.7280000E-03,0.0016,0.010344871,0.003399198,0.117692877,0.000537646
0.273103475,6.8748800E-04,1.8720000E-03,0.0016,0.002586218,0.030026249,0.112523331,0.000542874
0.024853216,1.8600960E-03,4.4512000E-02,0.0016,0.002586218,0.002266132,0.107618371,0.012992505
0.007880288,2.1024000E-03,4.4838400E-02,0.0016,0.049138137,0.011897193,0.106710888,0.051359384
0.015457488,3.0995200E-02,4.6464000E-01,0.0016,0.005172435,0.023794386,0.105866691,0.07678369
0.023034688,3.2000000E-04,5.7024000E-01,0.0096,0.002586218,0.010197594,0.099127855,0.024470918
0.0151544,2.2080000E-04,1.7248000E-02,0.0064,0.007758653,0.002266132,0.088573101,0.080512387
0.031012243,9.4873600E-04,1.9334400E-02,0.0016,0.002586218,0.003399198,0.082323508,0.120402637
0.001829894,1.3094400E-02,2.8966400E-02,0.0064,0.002586218,0.007364929,0.07568501,0.107839188
0.001524912,5.8256000E-02,6.1824000E-02,0.0384,0.005172435,0.023794386,0.075590618,0.204843383
0.046357325,1.5528960E-03,5.4880000E-02,0.0016,0.002586218,0.307060887,0.073819765,0.218448152
0.01870016,1.0035200E-02,1.2950400E-01,0.0016,0.002586218,0.003399198,0.070955084,0.364029926
0.01563456,2.1440000E-02,1.4134400E-01,0.0016,0.010344871,0.003399198,0.069482499,0.047425835
0.02207232,1.0598400E-04,4.7833600E-01,0.0016,0.005172435,0.004532264,0.066426287,0.051792077
0.00521152,5.6576000E-03,2.4035200E-01,0.0064,0.002586218,0.027193584,0.063821001,0.08347177
0.00950336,6.4032000E-03,9.6480000E-03,0.0064,0.02327596,0.013596792,0.058004354,0.000541373
0.03188224,7.1136000E-03,5.4278400E-02,0.0032,0.002586218,0.002266132,0.054421358,0.000545359
0.0183936,1.8201600E-02,2.1056000E-01,0.0016,0.002586218,0.001133066,0.052150221,0.000542916
0.0122624,2.3443200E-01,2.6371200E-01,0.0016,0.028448395,0.003399198,0.050367357,0.000559627
0.00950336,1.6896000E-03,3.0576000E-02,0.0016,0.015517306,0.02832665,0.049544086,0.000560871
0.00122624,9.6480000E-03,6.4876800E-02,0.0096,0.002586218,0.004532264,0.046488612,0.00055024
1.54148569,4.4928000E-04,9.5356800E-02,0.0832,0.015517306,0.002266132,0.04613405,0.000537022
0.206170234,2.2220800E-01,2.6352000E-01,0.0064,0.007758653,0.002266132,0.04443537,0.000553515
0.00153128,1.3145600E-04,3.5548800E-01,0.0096,0.095690057,0.002266132,0.042980144,0.142207147
0.004287584,6.7046400E-04,4.4774400E-02,0.0096,0.002586218,0.001133066,0.039318209,0.186282581
0.004900096,1.6640000E-03,2.3552000E-01,0.0016,0.002586218,0.006798396,0.037805285,0.245689486
0.011637728,5.1200000E-03,5.8099200E-02,0.0032,0.025862177,0.004532264,0.03739903,0.000549441
0.261575078,8.0870400E-04,3.3824000E-02,0.0032,0.002586218,0.002266132,0.036928778,0.00054757
0.206539187,1.0598400E-03,1.1923200E-01,0.0064,0.005172435,0.018695589,0.03589248,0.000537901
0.073896506,3.0240000E-03,9.0572800E-02,0.0032,0.005172435,0.037391178,0.035556155,0.000547005
0.008855069,1.2032000E-02,1.6128000E-01,0.0192,0.007758653,0.005098797,0.032591624,0.000538655
0.007939027,1.3216000E-03,2.2297600E-01,0.0016,0.002586218,0.002266132,0.032150075,0.000541674
0.001526736,4.9088000E-03,2.4416000E-01,0.0192,0.002586218,0.002266132,0.029259281,0.000553363
0.001832083,1.5676800E-04,8.9936000E-01,0.0032,0.002586218,0.004532264,0.028932057,0.000547701
0.00763368,2.7600000E-02,3.8272000E-02,0.0016,0.015517306,0.003965731,0.028644909,0.011976861
0.004885555,9.9200000E-04,7.1680000E-02,0.0016,0.002586218,0.409036828,0.028323432,0.018706327
0.062596176,5.2192000E-02,6.3008000E-02,0.0096,0.007758653,0.206218013,0.028188319,0.044730755
0.00306256,6.8448000E-03,6.4259200E-02,0.0352,0.002586218,0.003965731,0.028051178,0.085966063
0.002143792,1.9431680E-01,1.2499200E-01,0.0032,0.002586218,0.036824645,0.026836038,0.100288633
0.00306256,1.4560000E-03,1.5471360E-01,0.0016,0.059483008,0.001699599,0.024722553,0.246959146
0.002143792,4.1113600E-02,3.4003200E-01,0.0256,0.005172435,0.06798396,0.023126477,0.000544482
0.01071896,5.9136000E-05,6.8198400E-01,0.0016,0.002586218,0.376177914,0.02306105,0.000548427
0.00153128,7.8400000E-06,7.3728000E-03,0.0016,0.005172435,0.001699599,0.022056482,0.000549628
0.00153128,4.7872000E-05,1.7740800E-02,0.0016,0.012931089,0.001133066,0.021489131,0.000548073
0.001225024,1.6864000E-05,2.2195200E-02,0.0016,0.067241661,0.065717828,0.020930979,0.000539309
0.048694704,1.5235200E-04,2.9475200E-02,0.0032,0.012931089,0.006231863,0.019763275,0.0005422
0.00457296,8.2656000E-04,3.9072000E-02,0.0016,0.018103524,0.921749195,0.019516536,0.000548099
0.000610336,1.6339200E-03,2.9267200E-02,0.0016,0.012931089,0.054953701,0.018032375,0.009550228
0.008789552,1.9456000E-03,1.0700800E-01,0.0064,0.002586218,0.053820635,0.017709617,0.011036572
0.032430416,7.3472000E-03,8.8883200E-02,0.0192,0.002586218,0.052121036,0.0176904,0.000539321
0.029399536,2.4710400E-02,9.6665600E-02,0.0016,0.007758653,0.049854904,0.017690138,0.000546874
0.111536384,3.2012800E-04,1.7607040E-01,0.1376,0.007758653,0.048721838,0.017654548,0.000540542
0.156323222,3.4201600E-04,2.2732800E-01,0.0016,0.007758653,0.019262122,0.016456468,0.000549207
0.243689494,4.3520000E-05,4.3756800E-01,0.0016,0.002586218,0.007364929,0.015218544,0.000539709
0.072399981,1.6128000E-04,5.3139200E-01,0.0016,0.002586218,0.054387168,0.014095021,0.000544009
0.003508992,1.5859200E-04,1.1306880E+00,0.0016,0.002586218,0.033425447,0.013680462,0.000540258
0.00153128,8.5248000E-04,2.4768000E-01,0.0016,0.002586218,0.003965731,0.013610108,0.000538016
0.00153128,1.7190400E-03,1.7920000E-03,0.1024,0.005172435,0.02266132,0.01301187,0.000552246
0.00153128,6.5720000E-01,4.1187200E-02,0.0128,0.002586218,0.00566533,0.011813365,0.000549557
0.026950528,3.2000000E-04,4.8521600E-02,0.0016,0.043965702,0.018129056,0.011588697,0.001206122
0.067588624,1.3737600E-04,3.8454400E-01,0.0016,0.002586218,0.012463726,0.011513136,0.001783935
0.002121616,3.7120000E-03,6.7750400E-01,0.0064,0.002586218,0.098576742,0.011473836,0.000546831
0.639818768,2.0298240E-03,7.9872000E-03,0.0016,0.062069226,0.012833943,0.01092317,0.000558901
0.057283632,4.6368000E-04,3.2640000E-02,0.0992,0.005172435,0.064169713,0.010443718,0.000557071
0.102746832,7.9424000E-04,3.1529600E-02,0.3456,0.010344871,0.006416971,0.010252012,0.0005499
0.014548224,5.7120000E-03,3.4736000E-02,0.0128,0.002586218,0.083420626,0.010144036,0.000557786
0.016972928,7.0876800E-02,3.9648000E-02,0.0016,0.002586218,0.006416971,0.009977249,0.031957289
0.003665318,1.2640000E-01,3.6672000E-02,0.0016,0.002586218,0.003208486,0.009733687,0.000552218
0.026509805,1.7328000E-04,7.8566400E-02,0.0016,0.002586218,0.003208486,0.009599167,0.000538621
0.002421222,2.6208000E-03,7.5513600E-02,0.0016,0.155173065,0.009625457,0.009160832,0.001327914
0.051664166,1.0192000E-02,8.3846400E-02,0.0016,0.002586218,0.006416971,0.008848479,0.00437011
0.004712992,2.2656000E-04,9.5648000E-02,0.0032,0.002586218,0.006416971,0.008532402,0.006385563
0.050988749,1.5680000E-04,9.7344000E-02,0.0672,0.028448395,0.035293342,0.0084819,0.007308837
0.04799423,7.4880000E-04,1.7264000E-01,0.0032,0.002586218,0.019250914,0.008060853,0.012964635
0.00395992,4.5408000E-03,1.4813440E-01,0.0016,0.033620831,0.003208486,0.007814857,0.000557642
0.30142911,2.1331200E-02,1.5680000E-01,0.016,0.002586218,0.003208486,0.007747639,0.00055488
0.040232787,4.5696000E-04,1.1187200E-01,0.1856,0.010344871,0.003208486,0.0074635,0.000537841
0.005134147,2.5920000E-05,2.7200000E-01,0.0016,0.015517306,0.003208486,0.006845024,0.000541399
0.023388893,1.4608000E-04,2.6864000E-01,0.0016,0.02327596,0.025667885,0.006761673,0.000545399
0.057426387,1.1200000E-03,2.7809280E-01,,0.007758653,0.048127284,0.00668945,0.000542066
0.088692944,3.5640640E-01,3.0240000E-01,,0.005172435,0.006416971,0.005760507,0.000548894
0.01524,4.9280000E-04,3.0028800E-01,,0.018103524,0.137964882,0.005613926,0.000538968
0.0064008,1.7049600E-03,3.3171200E-01,,0.005172435,0.016042428,0.005015323,0.000543828
0.001524,3.7440000E-03,3.4720000E-01,,0.015517306,0.003208486,0.004985385,0.001090499
0.01841376,6.9600000E-03,4.5667200E-01,,0.005172435,0.012833943,0.004965949,0.012037471
0.006751712,3.8912000E-03,8.8512000E-01,,0.002586218,0.009625457,0.004873079,0.025122001
0.002762064,8.1600000E-04,3.2000000E-04,,0.002586218,0.006416971,0.00472184,0.059931707
0.003953456,1.0423040E-01,2.4416000E-02,,0.02327596,0.006416971,0.004710749,0.047597803
0.029242368,5.6576000E-05,3.6697600E-02,,0.012931089,0.080212141,0.004553619,0.004121082
0.005787552,4.8620800E-04,5.1027200E-01,,0.007758653,0.012833943,0.004544831,0.005678325
0.004264512,2.8288000E-03,1.9145664E+00,,0.002586218,0.141173368,0.00425135,0.025373957
0.006396768,2.7456000E-03,8.7040000E-04,,0.005172435,0.035293342,0.004230784,0.05508571
0.088031712,4.0128000E-03,6.7379200E-02,,0.007758653,0.006416971,0.00414915,0.054810484
0.003655296,4.2240000E-03,4.2656000E-01,,0.007758653,0.022459399,0.004042026,0.000182747
0.0609216,7.0560000E-03,1.5014400E-01,,0.002586218,0.012833943,0.004038148,0.020446718
0.075542784,3.4304000E-03,2.0160000E-02,,0.036207048,,0.003908703,0.082194373
0.034421094,2.2720000E-04,3.2716800E-02,,0.005172435,,0.003842859,0.008228025
0.004897536,4.6080000E-04,4.4598400E-01,,0.750003147,,0.003739275,0.085447124
0.003367056,6.5856000E-04,1.6576000E-03,,0.581898993,,0.003719436,0.022230974
0.009795072,4.0627200E-02,6.2496000E-03,,0.002586218,,0.003580248,0.000550649
0.013414579,1.5424800E-04,2.8224000E-02,,0.046551919,,0.003579958,0.00279705
0.007317043,8.5120000E-04,9.5257600E-02,,0.051724355,,0.003005133,0.028019366
0.105730752,4.4992000E-03,1.4601600E-01,,0.010344871,,0.00286046,0.034780918
0.017621792,1.6557440E-03,1.4470400E-01,,0.012931089,,0.002745839,0.179480632
0.028750982,4.8640000E-03,1.6464000E-01,,0.020689742,,0.002610949,0.220856188
0.1215104,2.9120000E-03,2.0275200E-01,,0.025862177,,0.002588882,0.004037039
0.01767424,2.9427200E-04,2.2780800E-02,,0.012931089,,0.002588882,0.027585678
0.066206429,8.3448320E-05,6.4448000E-04,,0.002586218,,0.002562454,0.049240144
0.003710685,1.4414400E-03,2.7328000E-02,,0.002586218,,0.002533185,0.122441236
0.042184627,1.2896000E-03,4.9177600E-02,,0.033620831,,0.002474666,0.00054028
0.016209834,7.1744000E-03,2.4332160E-01,,0.002586218,,0.002467052,0.000550977
0.002929488,1.4540800E-02,1.1088000E-01,,0.002586218,,0.002447801,0.000529204
0.00722607,4.2496000E-04,1.4277120E-01,,0.002586218,,0.002323558,0.000525729
0.001171795,2.3846400E-04,2.3040000E-03,,0.015517306,,0.002322972,0.007872035
0.098495795,7.9520000E-04,5.2224000E-02,,0.025862177,,0.002284629,0.012610515
0.013460902,2.9548800E-02,1.9008000E-03,,0.007758653,,0.002248958,0.060655273
0.01560241,3.9628800E-02,8.4691200E-02,,0.012931089,,0.002141491,0.065076431
0.042000134,2.9913600E-05,1.6016000E-01,,0.002586218,,0.002012728,0.07397088
0.053565389,1.1125760E-03,1.5360000E-01,,0.036207048,,0.001962141,0.082863754
0.00243479,2.7632000E-02,1.0150400E-01,,0.002586218,,0.001880381,0.082006982
0.209609968,1.6000000E-02,1.0490240E-01,,0.007758653,,0.001847373,0.089208355
0.093296384,1.9584000E-03,1.8000000E-01,,0.018103524,,0.001815983,0.094449604
0.003989648,1.0080000E-02,5.4528000E-03,,0.005172435,,0.001808059,0.088980035
0.018720656,5.2224000E-04,3.4496000E-02,,0.012931089,,0.001781498,0.174754058
0.081020544,3.7519360E-03,4.8787200E-01,,0.002586218,,0.001745383,0.179478729
0.099652173,3.1923200E-04,4.6054400E-01,,0.005172435,,0.001735737,0.305864859
0.091140218,1.9852800E-04,1.7203200E-02,,0.005172435,,0.001719446,0.285489742
0.044348192,1.0839040E-03,2.6432000E-03,,0.005172435,,0.001703078,0.371854609
0.642895859,2.7040000E-03,4.9728000E-02,,0.020689742,,0.001700667,0.000540847
0.024605379,2.5942400E-04,1.4112000E-01,,0.028448395,,0.001687522,0.001480042
0.002357402,6.4768000E-04,4.6310400E-02,,0.007758653,,0.001639307,0.001525954
0.02887817,1.9443200E-05,1.1087360E-01,,0.043965702,,0.001630847,0.002423134
0.005156816,8.7840000E-05,3.4560000E-03,,0.005172435,,0.001624493,0.00863284
0.254078669,1.3315200E-04,1.3859200E-02,,0.007758653,,0.001615199,0.010731784
0.04473216,2.1952000E-04,2.1600000E-02,,0.025862177,,0.001609965,0.024949364
0.025565299,7.8400000E-05,3.4278400E-02,,0.002586218,,0.001591092,0.031651526
0.07932503,2.3680000E-03,7.7465600E-02,,0.002586218,,0.001566984,0.035072185
0.037873229,3.2000000E-04,8.8704000E-03,,0.007758653,,0.001531665,0.044351393
0.224939648,2.8172800E-04,2.6188800E-02,,0.005172435,,0.00149777,0.086300524
0.000304323,2.7968000E-03,6.2400000E-02,,0.002586218,,0.001471629,0.035129238
0.095253162,2.3552000E-03,4.9152000E-03,,0.002586218,,0.001470555,0.151777326
0.008351053,1.0828800E-02,8.7091200E-02,,0.072414097,,0.001469658,0.001487278
0.228172314,2.4166400E-02,9.3392000E-02,,0.005172435,,0.001452976,0.010393605
0.054319459,1.4784000E-04,5.0688000E-03,,0.002586218,,0.001450376,0.111175371
0.18987049,1.5936000E-04,1.5680000E-01,,0.033620831,,0.001443441,0.000546198
0.106217731,3.2000000E-04,2.4000000E-03,,0.012931089,,0.001428561,0.000546705
0.020087021,3.2000000E-04,8.0640000E-03,,0.002586218,,0.001405885,0.000547987
0.066348038,3.2000000E-04,2.6560000E-02,,0.043965702,,0.00138321,0.000544188
0.011669504,7.5072000E-05,4.6771200E-02,,0.010344871,,0.00138321,0.000545167
0.014798899,1.4200000E-04,5.3260800E-02,,0.044463051,,0.001364936,0.00054246
0.0018336,1.9840000E-04,1.6383360E-01,,0.028448395,,0.001349839,0.000547006
0.0773168,1.6000000E-04,2.5600000E-02,,0.007758653,,0.001349839,0.000556016
0.0192528,3.2208000E-04,1.1315200E-02,,0.012931089,,0.00133348,0.000537789
0.426446592,1.7942400E-02,5.7024000E-03,,0.010344871,,0.001279212,0.000534276
0.159842918,3.3964800E-02,5.2019200E-02,,0.007758653,,0.001272977,0.011511146
0.013717862,1.0848000E-04,8.7603200E-02,,0.349139396,,0.001272398,0.000925404
0.000660301,1.4515200E-04,1.1041600E-01,,0.010344871,,0.001265058,0.001448528
0.006603008,4.3424000E-03,1.1249280E-01,,0.010344871,,0.001247674,0.00093234
0.003961805,6.0433920E-03,1.9760000E-01,,0.064655444,,0.001247674,0.032535394
0.063388877,6.7576320E-05,2.7244800E-01,,0.002586218,,0.001244581,0.044649635
0.004838451,1.6704000E-02,3.5251200E-01,,0.002586218,,0.001243273,0.047529074
0.00181609,2.6880000E-04,1.5040000E-04,,0.002586218,,0.001243273,0.070557517
0.057509504,2.0160000E-03,5.6000000E-03,,0.082758968,,0.001235331,0.075052124
0.06575048,5.8080000E-05,1.0224000E-02,,0.002586218,,0.001235131,0.088059716
0.02095976,1.0881920E-03,1.0320000E-01,,0.018103524,,0.001225912,0.010409185
0.00890072,3.1616000E-03,2.7040000E-02,,0.002586218,,0.001225912,0.001026149
0.01349464,4.3097600E-02,5.6851200E-02,,0.002586218,,0.001220744,0.011981146
0.03043472,2.6880000E-05,2.6400000E-01,,0.054310573,,0.001192629,0.020635077
0.01837568,7.3600000E-05,1.2812800E+00,,0.005172435,,0.001182388,0.047244699
0.01550448,1.3376000E-03,7.3728000E-03,,0.002586218,,0.001172611,0.07216266
0.02986048,4.7616000E-03,1.2896000E-02,,0.005172435,,0.00116474,0.07663624
0.0244052,4.6800000E-04,1.0233600E-01,,0.002586218,,0.001156624,0.082621375
0.01263328,9.0112000E-03,3.2157120E-01,,0.005172435,,0.001156454,0.0935047
0.0186628,4.1600000E-04,1.6896000E-02,,0.043965702,,0.001155933,0.114685683
0.0387612,1.3536000E-03,4.9056000E-02,,0.20689742,,0.001154844,0.45290144
0.00200984,2.5593600E-02,1.6848000E-01,,0.05689679,,0.001154844,0.620884968
0.00028712,9.2160000E-05,2.2769280E-01,,0.002586218,,0.001154468,0.00054819
0.039819341,3.9744000E-03,2.5459200E-01,,0.002586218,,0.001154468,0.0005428
0.04147848,1.1468800E-02,2.2080000E-03,,0.010344871,,0.001148028,0.068691864
0.023965344,1.7600000E-04,3.8912000E-03,,0.015517306,,0.001145622,0.075392277
0.011680653,4.1600000E-04,4.4352000E-03,,0.002586218,,0.001144583,0.103919429
0.012791251,4.1664000E-04,3.9884800E-02,,0.002586218,,0.001137585,0.019673731
0.014618573,1.0368000E-04,6.1900800E-02,,0.005172435,,0.001137585,0.113307633
0.020709645,3.6704000E-04,1.1285120E-01,,0.007758653,,0.001137077,0.00478278
0.008527501,9.2160000E-04,1.2160000E-01,,0.256035557,,0.001128152,0.021298954
0.011573037,1.5552000E-03,1.4327040E-01,,0.007758653,,0.001120123,0.026362205
0.013095805,1.0944000E-02,1.2881920E-01,,0.007758653,,0.001120123,0.039082715
0.107272768,2.9260800E-04,3.2000000E-04,,0.020689742,,0.001119311,0.059079025
0.002437658,2.2080000E-03,3.2000000E-04,,0.002586218,,0.001119311,0.095984778
0.005180022,5.8150400E-04,2.4240000E-02,,0.002586218,,0.001116035,0.10228001
0.006398851,2.0160000E-03,7.6128000E-03,,0.067241661,,0.001112523,0.131145223
0.004882944,5.8486400E-02,2.3584000E-01,,0.028448395,,0.001112523,0.297479044
0.007934784,3.6441600E-02,6.4615680E-01,,0.010344871,,0.001108779,0.000735159
0.0076296,4.4531200E-02,3.1200000E-03,,0.062069226,,0.001102343,0.000837593
0.04882944,3.4663040E-03,9.6480000E-03,,0.483622719,,0.001095595,0.00089115
0.008850336,1.0752000E-03,5.4272000E-03,,0.059483008,,0.001084564,0.001665648
0.310982496,3.2160000E-03,1.6131200E-02,,0.005172435,,0.001083322,0.00149497
0.002177968,4.1387520E-03,2.7228800E-02,,0.168104154,,0.001067268,0.00233094
0.003985472,1.2096000E-04,3.1680000E-02,,0.012931089,,0.00106601,0.006076455
0.002096717,5.8528000E-03,6.3692800E-02,,0.018103524,,0.001058855,0.007723959
0.001572538,9.1744000E-03,6.9043200E-02,,0.072414097,,0.001057816,0.99649954
0.010594854,5.5798400E-02,6.8947200E-02,,0.007758653,,0.001056538,0.005457321
0.012632326,6.1062400E-02,8.8473600E-02,,0.025862177,,0.001048243,0.013482746
0.001833725,1.1271680E-01,1.1558400E-01,,0.002586218,,0.001043076,0.022652314
0.002648714,1.2990720E-01,5.2192000E-02,,0.069827879,,0.001034294,0.017912144
0.058271699,3.5816960E-01,7.2576000E-02,,0.005172435,,0.001030476,0.035942279
0.02180095,2.1488000E-04,4.2432000E-02,,0.018103524,,0.001030476,0.06021722
0.01187759,3.9430400E-04,5.4886400E-02,,0.018103524,,0.00103014,0.073910024
0.016750448,9.3536000E-04,5.8752000E-02,,0.002586218,,0.001019361,0.085568152
0.010659376,1.9712000E-03,8.5196800E-02,,0.002586218,,0.001019361,0.0030663
0.010354822,2.0480000E-03,1.1097600E-02,,0.002586218,,0.001004524,0.0030663
0.013704912,1.9968000E-03,1.6262400E-02,,0.002586218,,0.001004524,0.009223002
0.02710527,2.4960000E-03,4.3939200E-02,,0.007758653,,0.000977885,0.024755362
0.006700179,2.3184000E-03,6.6969600E-02,,0.038793266,,0.000977176,0.037325871
0.008222947,3.5040000E-02,1.4238720E-01,,0.147414412,,0.000974623,0.096750674
0.011786861,1.2249600E-04,1.3648320E-01,,0.002586218,,0.000970577,0.104136967
0.011786861,5.0976000E-04,9.9840000E-04,,0.002586218,,0.000969871,0.066205504
0.011754538,2.1216000E-03,2.1220480E-03,,0.002586218,,0.000959409,0.063459113
0.018385302,4.9312000E-03,1.9302400E-02,,0.015517306,,0.000955636,0.000756674
0.017481107,2.3628800E-04,5.4208000E-02,,0.002586218,,0.000947827,0.000548518
0.044908362,1.1243520E-03,7.5264000E-02,,0.002586218,,0.000941642,0.001340717
0.014467123,3.0464000E-03,1.1141120E-01,,0.093103839,,0.000929943,0.00154968
0.02613865,6.9120000E-03,3.7088000E-02,,0.007758653,,0.000896897,0.009220892
0.033410304,3.1852800E-02,6.6355200E-02,,0.002586218,,0.000888342,0.009387804
0.033803366,9.3446400E-02,1.3910400E-01,,0.046551919,,0.000888342,0.009689166
0.002028224,4.6080000E-05,2.1107200E-01,,0.018103524,,0.000847569,0.011226805
0.023121754,1.2864000E-03,5.7600000E-04,,0.002586218,,0.000833342,0.045233868
0.044620928,1.9296000E-03,2.7360000E-02,,0.05689679,,0.000817274,0.069646957
0.032045939,2.0800000E-03,5.3430400E-02,,0.049138137,,0.000794653,0.614412212
0.031031827,7.0752000E-03,1.1654400E-01,,0.015517306,,0.000792403,0.00739914
0.039517088,1.7152000E-04,1.6358400E-01,,0.002586218,,0.000782308,0.463226674
0.005167619,4.7360000E-05,8.8064000E-02,,0.025862177,,0.000779338,0.021581866
0.002127843,7.9872000E-04,2.2560000E-01,,0.002586218,,0.000762492,0.038634347
0.038909133,1.1008000E-03,2.3680000E-01,,0.010344871,,0.000739469,0.000545745
0.021278432,6.9440000E-03,2.7564800E-01,,0.002586218,,0.000735455,0.000545286
0.0229764,1.4416000E-02,3.4336000E-01,,0.002586218,,0.000731994,0.000620391
0.007352448,2.8300800E-04,6.5977600E-01,,0.018103524,,0.000718432,0.003129382
0.012560432,1.5612800E-01,1.7029440E+00,,0.007758653,,0.00071504,0.008804774
0.01225408,1.9008000E-04,3.2000000E-04,,0.002586218,,0.000661915,0.000533769
0.03369872,6.3488000E-04,1.6451200E-02,,0.005172435,,0.000640059,0.000517295
0.004548768,6.7123200E-04,3.3408000E-02,,0.002586218,,0.000638834,0.000556647
0.024922579,2.2400000E-03,6.1107200E-02,,0.002586218,,0.000630335,0.00239524
0.003070173,1.3632000E-02,6.8016000E-02,,0.025862177,,0.000611928,0.009154948
0.001519171,1.0183680E-03,2.0563200E-01,,0.002586218,,0.000571481,0.095031967
0.000675187,2.3664000E-04,2.7872000E-01,,0.002586218,,0.000566358,0.006331909
0.005739091,8.0256000E-03,5.6083200E-01,,0.002586218,,0.000560131,0.000538455
0.001350374,1.0496000E-04,1.4950400E-02,,0.005172435,,0.000546148,0.000549693
0.000515981,5.3248000E-04,1.9555200E-02,,0.041379484,,0.000526648,0.091976396
0.000171994,6.7424000E-03,1.6809600E-02,,0.002586218,,0.000421292,0.003117575
0.000859968,2.6853120E-03,1.3273600E-02,,0.002586218,,0.00039376,0.002678073
0.000886032,1.5872000E-04,1.0905600E-02,,0.005172435,,0.000393677,0.007649079
0.000708826,3.3264000E-04,1.4160000E-02,,0.002586218,,0.000388114,0.043370781
0.001594858,5.1824000E-04,2.1888000E-02,,0.012931089,,0.000378638,0.000835716
0.010634198,9.3808000E-04,2.1456000E-02,,0.007758653,,0.000350569,0.000871975
0.001350374,4.4928000E-05,2.9760000E-02,,0.002586218,,0.000341562,0.00961935
0.046756714,2.1120000E-04,3.9731200E-02,,0.002586218,,0.000338778,1.159837663
0.017554867,3.8528000E-04,4.4870400E-02,,0.002586218,,0.000335965,0.000543265
0.020255616,5.8528000E-03,8.5312000E-02,,0.002586218,,0.000331659,0.000540718
0.001350374,8.6016000E-03,1.8163200E-01,,0.002586218,,0.000253343,0.010509854
0.001519171,9.2160000E-03,1.8928000E-01,,0.002586218,,0.00022308,0.021754035
0.000843984,1.3708800E-02,4.0345600E-01,,0.012931089,,0.000215322,0.020837153
0.010802995,3.6454400E-02,1.2041600E-02,,0.002586218,,0.000207103,0.079657534
0.00472631,1.9296000E-03,1.8972800E-01,,0.002586218,,0.000203997,0.000552242
0.03426575,1.1200000E-05,3.7644800E-02,,0.064655444,,0.000183066,0.000538585
