Allen 2013,ERG TVA 2011,ERG Camera 2011,Bell-2017,Zimmerle-2019,
0.071779152,2.2154880E-03,8.6592000E-03,0.002266132,0.000547201,
0.012104064,4.9056000E-02,3.2491200E+00,0.001133066,0.000546933,
0.010108243,6.3360000E-02,7.9360000E-03,0.301395557,0.000562706,
0.233525824,3.3152000E-03,6.6560000E-02,0.000566533,0.000532812,
0.130786656,3.7004800E-06,1.4049600E+00,1.700165541,0.1626072,
0.066376272,1.1904000E-03,2.1713280E+00,1.25090487,0.000544401,
0.316673866,2.3712000E-04,3.1744000E-03,0.001133066,0.0064993,
0.024550128,1.5808000E-02,4.3724800E-02,0.068550493,0.000557471,
0.521391542,1.0821760E-01,7.4752000E-03,0.040790376,0.000570689,
0.010592848,6.1248000E-03,7.3286400E-02,0.00566533,0.000538016,
0.0795528,8.6688000E-03,3.0066688E+00,0.014729858,0.010319762,
0.00304112,7.9296000E-03,2.9552640E+00,2.455354033,0.024413961,
0.003065661,2.2265600E-02,1.6128000E-05,0.005098797,0.146154869,
0.010796458,5.4400000E-05,6.1440000E-03,0.003399198,0.007549332,
0.025282464,3.2000000E-04,1.2697600E-02,0.060619031,0.067402586,
0.102652896,3.2000000E-04,4.3056000E-02,0.001133066,0.0741985,
0.031679232,1.4352000E-02,2.4393600E-02,0.063451696,0.785477862,
0.006428016,1.3552000E-04,1.8796800E-01,0.002832665,0.062605931,
0.047653005,1.7280000E-03,3.4380800E-01,0.034558513,0.065870019,
0.026309946,2.2176000E-03,3.9710720E-01,0.014163325,0.087111312,
0.023556579,2.1440000E-04,7.9622400E-02,0.274201973,1.066760439,
0.01499055,1.1200000E-03,7.8336000E-01,0.002832665,0.062580035,
0.004283014,6.0480000E-02,1.2862080E+00,0.047588772,0.000550032,
0.018532874,3.2000000E-04,1.1648000E-02,0.15466351,0.075912305,
0.022332371,4.4160000E-05,7.2224000E-02,0.01133066,0.228722432,
0.051126147,3.2000000E-04,9.9340800E-02,0.009631061,0.000535463,
0.005069645,3.2000000E-04,5.8102400E-02,0.073082757,0.017572555,
0.063833037,3.2000000E-04,1.0909728E+00,0.027760117,0.011018688,
0.0284208,7.9328000E-03,5.7849600E-02,1.078112304,0.006792995,
0.0055008,1.2144000E-02,7.3840000E-02,1.472419274,0.056087053,
0.004540224,3.1948800E-02,1.1696000E-01,0.409603361,0.000550658,
0.04995888,2.7328000E-03,1.5043840E-01,0.009064528,0.000536444,
0.01837568,6.9836800E-02,3.2000000E-04,0.003965731,0.000541933,
0.01521736,5.5744000E-03,6.4320000E-03,0.042489975,0.000532508,
0.00976208,5.4956800E-02,1.0618880E-01,0.01133066,0.000534447,
0.03129608,2.8300800E-02,1.0595200E-01,,0.098650658,
0.065443824,1.7568000E-03,1.1041600E-01,,0.038090765,
0.013711824,3.0240000E-03,2.2742400E-02,,0.078218325,
0.001831104,3.2000000E-04,2.6800000E-02,,0.081564318,
0.061952352,9.1840000E-03,4.0627200E-02,,0.034514476,
0.067952298,4.8576000E-02,4.3497600E-02,,0.000542087,
0.013628659,3.2000000E-04,6.5433600E-02,,0.098587397,
0.063425683,3.2000000E-04,1.1289600E-01,,0.022833309,
0.002241219,4.0320000E-03,1.2595200E-01,,0.008679582,
0.068255312,2.1331200E-02,1.2147200E-01,,0.00109203,
0.007131152,3.2000000E-04,1.1872000E-01,,0.061498094,
0.027709619,2.5760000E-02,1.2230400E-01,,0.049094556,
0.036470749,3.2000000E-04,1.1308800E-01,,0.072257382,
0.040201075,3.2000000E-04,2.5462400E-01,,0.000547869,
0.233592611,9.2800000E-03,1.2597120E+00,,0.019542666,
0.261002435,1.0684800E-02,4.7039360E-01,,0.057360284,
0.026496163,3.2000000E-04,2.1120000E-03,,0.000533926,
0.221410467,,1.8988800E-01,,0.00056118,
0.024959462,,9.3398400E-02,,0.000542357,
0.005679027,,6.0852800E-01,,0.59036485,
0.02616409,,1.1723520E+00,,1.915550935,
0.064294701,,4.4851200E-02,,0.023651096,
0.00881535,,1.5621120E-01,,0.000550941,
0.073878646,,6.8534400E-02,,0.108717612,
0.263769072,,3.6806400E-02,,0.249839847,
0.43195632,,5.6297600E-01,,0.56429182,
0.033049507,,1.6567040E+00,,0.000543608,
0.010474707,,1.5426048E+00,,0.044768258,
0.04406601,,9.1791680E-01,,0.149899107,
0.003973165,,1.8438400E-01,,0.040271165,
0.004895107,,9.2044800E-02,,0.057236193,
0.001350374,,5.3433600E-02,,0.039602253,
